userid, group99999, temp, 23.37, sample_timestamp, 17:24:02, received timestamp, 13/14:24:08, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:05, received timestamp, 13/14:24:08, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:07, received timestamp, 13/14:24:08, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:10, received timestamp, 13/14:24:22, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:13, received timestamp, 13/14:24:22, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:15, received timestamp, 13/14:24:22, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:18, received timestamp, 13/14:24:22, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:21, received timestamp, 13/14:24:22, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:24, received timestamp, 13/14:24:36, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:27, received timestamp, 13/14:24:36, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:30, received timestamp, 13/14:24:36, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:33, received timestamp, 13/14:24:36, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:36, received timestamp, 13/14:24:36, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:38, received timestamp, 13/14:24:47, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:40, received timestamp, 13/14:24:47, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:42, received timestamp, 13/14:24:47, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:45, received timestamp, 13/14:24:47, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:47, received timestamp, 13/14:24:47, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:49, received timestamp, 13/14:25:00, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:52, received timestamp, 13/14:25:00, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:54, received timestamp, 13/14:25:00, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:57, received timestamp, 13/14:25:00, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:59, received timestamp, 13/14:25:00, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:02, received timestamp, 13/14:25:13, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:04, received timestamp, 13/14:25:13, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:07, received timestamp, 13/14:25:13, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:10, received timestamp, 13/14:25:13, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:12, received timestamp, 13/14:25:13, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:15, received timestamp, 13/14:25:28, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:18, received timestamp, 13/14:25:28, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:21, received timestamp, 13/14:25:28, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:24, received timestamp, 13/14:25:28, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:27, received timestamp, 13/14:25:28, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:30, received timestamp, 13/14:25:40, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:32, received timestamp, 13/14:25:40, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:36, received timestamp, 13/14:25:40, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:38, received timestamp, 13/14:25:40, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:40, received timestamp, 13/14:25:40, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:42, received timestamp, 13/14:25:52, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:44, received timestamp, 13/14:25:52, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:47, received timestamp, 13/14:25:52, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:49, received timestamp, 13/14:25:52, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:25:51, received timestamp, 13/14:25:52, Message length, 169
userid, group99999, temp, 23.83, sample_timestamp, 17:54:59, received timestamp, 13/14:55:09, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:55:01, received timestamp, 13/14:55:09, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:55:03, received timestamp, 13/14:55:09, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:55:06, received timestamp, 13/14:55:09, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:55:08, received timestamp, 13/14:55:09, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:55:11, received timestamp, 13/14:55:21, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:13, received timestamp, 13/14:55:21, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:16, received timestamp, 13/14:55:21, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:18, received timestamp, 13/14:55:21, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:21, received timestamp, 13/14:55:21, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:23, received timestamp, 13/14:55:35, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:26, received timestamp, 13/14:55:35, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:29, received timestamp, 13/14:55:35, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:32, received timestamp, 13/14:55:35, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:35, received timestamp, 13/14:55:35, Message length, 317
userid, group99999, temp, 23.83, sample_timestamp, 17:55:37, received timestamp, 13/14:55:49, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:40, received timestamp, 13/14:55:49, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:43, received timestamp, 13/14:55:49, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:46, received timestamp, 13/14:55:49, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:49, received timestamp, 13/14:55:49, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:51, received timestamp, 13/14:56:01, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:54, received timestamp, 13/14:56:01, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:56, received timestamp, 13/14:56:01, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:55:58, received timestamp, 13/14:56:01, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:00, received timestamp, 13/14:56:01, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:03, received timestamp, 13/14:56:13, Message length, 314
userid, group99999, temp, 23.83, sample_timestamp, 17:56:05, received timestamp, 13/14:56:13, Message length, 314
userid, group99999, temp, 23.83, sample_timestamp, 17:56:08, received timestamp, 13/14:56:13, Message length, 314
userid, group99999, temp, 23.83, sample_timestamp, 17:56:10, received timestamp, 13/14:56:13, Message length, 314
userid, group99999, temp, 23.83, sample_timestamp, 17:56:13, received timestamp, 13/14:56:13, Message length, 314
userid, group99999, temp, 23.83, sample_timestamp, 17:56:15, received timestamp, 13/14:56:27, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:18, received timestamp, 13/14:56:27, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:20, received timestamp, 13/14:56:27, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:23, received timestamp, 13/14:56:27, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:26, received timestamp, 13/14:56:27, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:29, received timestamp, 13/14:56:41, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:31, received timestamp, 13/14:56:41, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:34, received timestamp, 13/14:56:41, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:37, received timestamp, 13/14:56:41, Message length, 316
userid, group99999, temp, 23.83, sample_timestamp, 17:56:40, received timestamp, 13/14:56:41, Message length, 316
